radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,311,480,7683,7796246,0,-122.390394,37.61654,1000,22,1,1476578793,1505352254,0
LTE,311,480,7683,84596225,0,-122.39112854004,37.615127563477,1000,8,1,1476678361,1485984616,0
LTE,311,480,9730,86544131,0,-122.440495,37.747471,1000,62,1,1476770817,1505923135,0
LTE,311,480,7683,7796256,0,-122.388821,37.616108,1000,18,1,1476839196,1561921970,0
LTE,311,480,9730,9803522,0,-122.455826,37.745438,1000,9,1,1476923182,1491014114,0
LTE,311,480,9730,9744140,0,-122.435074,37.761419,1000,57,1,1477020391,1492341867,0
LTE,311,480,7683,7693848,0,-122.398453,37.693291,1000,36,1,1477020388,1492024107,0
LTE,311,480,7683,7796228,0,-122.388904,37.615836,1000,7,1,1477022763,1561602152,0
LTE,311,480,7683,7796266,0,-122.389553,37.615467,1000,26,1,1477022763,1505350909,0
LTE,311,480,9730,9744150,0,-122.427126,37.761094,1000,25,1,1477159626,1567910047,0
LTE,311,480,9728,9734690,0,-122.394988,37.788223,1000,27,1,1477170413,1558922185,0
LTE,311,480,9730,86544210,0,-122.426228,37.752953,1000,18,1,1477249684,1567910251,0
LTE,311,480,9730,86544250,0,-122.42820739746,37.751083374023,1000,19,1,1477419358,1491950641,0
LTE,311,480,9728,9728536,0,-122.400284,37.790909,1000,3,1,1477465737,1481835422,0
LTE,311,480,7683,7796268,0,-122.388382,37.615299,1000,8,1,1477555970,1483039209,0
LTE,311,480,9730,86544270,0,-122.43769,37.754157,1000,21,1,1477939475,1492081218,0
LTE,311,480,7683,7796258,0,-122.387764,37.616867,1000,3,1,1477989945,1505416157,0
LTE,311,480,9730,86544230,0,-122.42113,37.754781,1434,13,1,1478232346,1491942027,0
LTE,311,480,7683,7706646,0,-122.488677,37.653624,1375,31,1,1478721039,1492364834,0
LTE,311,480,7683,7706638,0,-122.459855,37.681903,6888,137,1,1478721913,1505673959,0
LTE,311,480,7683,7706627,0,-122.498062,37.732132,3471,15,1,1458902642,1492226403,0
LTE,311,480,9728,9900566,0,-122.393958,37.790402,1000,54,1,1478799997,1506369359,0
LTE,311,480,9728,9900616,0,-122.393384,37.793099,7836,22,1,1478799997,1505838300,0
LTE,311,480,9728,9900556,0,-122.39199,37.793041,7717,38,1,1478799997,1506375457,0
LTE,311,480,9728,86700578,0,-122.39727,37.771849,4846,23,1,1478799997,1505424098,0
LTE,311,480,9730,9894401,0,-122.42368,37.775041,1627,13,1,1478812030,1505879659,0
LTE,311,480,9730,9894412,0,-122.424568,37.769168,1086,62,1,1478838342,1505880788,0
LTE,311,480,9730,9894422,0,-122.418297,37.758794,1311,97,1,1478838342,1505880165,0
